# 衆議院「制定法律」のページの誤記の訂正（tools/shugiin_corpus_text.py が平文にするときに当てる）
# ページの 14 桁	誤	正	注	回数（省けば 1）。行をまたぐ字句は \n で改行を書く
11419890331012	第七十七の条三中	第七十七条の三中	条の位置の誤り
11419890628031	を「省令」でに改める	を「省令で」に改める	かぎ括弧の位置
11419890628048	（第五十三条―第五十四条）を「	（第五十三条―第五十四条）」を「	閉じかぎ括弧の落ち
11619891222086	「第三十条の三第一項の下に	「第三十条の三第一項」の下に	閉じかぎ括弧の落ち
11619891222086	「附則第三十八条の二に改め	「附則第三十八条の二」に改め	閉じかぎ括弧の落ち
11819900619033	同号を同条第十九条とし	同号を同条第十九号とし	号の誤り
11819900627052	「売買取引を「取引」に改め	「売買取引」を「取引」に改め	閉じかぎ括弧の落ち
11819900629067	「五分の一「の下に	「五分の一」の下に	かぎ括弧の向き
12019910501049	第十三条第五項条の表	第十三条第五項の表	余分な「条」
12619930331010	「平成五年三月三十一日を	「平成五年三月三十一日」を	閉じかぎ括弧の落ち
12819931112089	第十二節を第十三節とし第十一節の次に	第十二節を第十三節とし、第十一節の次に	読点の落ち
12819940204002	（衆議院議院の選挙区）を「	（衆議院議院の選挙区）」を「	閉じかぎ括弧の落ち
13119941214116	「図面」に下に	「図面」の下に	「の」の落ち
13119941228118	「別表第一(A)又は(B)を	「別表第一(A)又は(B)」を	閉じかぎ括弧の落ち
13219950226013	を「前二項」を改め	を「前二項」に改め	「に」の誤り
13219950331055	同項に次に一号を加える	同項に次の一号を加える	「の」の誤り
13219950421075	「（卸供給の供給条件」）を付し	「（卸供給の供給条件）」を付し	かぎ括弧の位置
13219950508084	同条第八項し	同条第八項とし	「と」の落ち
14019970411034	同条第一項申	同条第一項中	字の誤り
14019970611074	「、虚弱児施設、肢体不自由児施設を	「、虚弱児施設、肢体不自由児施設」を	閉じかぎ括弧の落ち
15020001206141	策六十九条	第六十九条	字の誤り
15420020531055	次の一号を与える	次の一号を加える	字の誤り
15920040331014	「平成十六年三月三十一日を	「平成十六年三月三十一日」を	閉じかぎ括弧の落ち
15620030331008	「率を」「税率を」に改め	「率を」を「税率を」に改め	「を」の落ち
11819900331014	「平成四年三月三十一日に改め	「平成四年三月三十一日」に改め	閉じかぎ括弧の落ち
12019910330016	「（当該中高層耐火建築物）を「	「（当該中高層耐火建築物）」を「	閉じかぎ括弧の落ち
12019910330017	（食用に適するものに限る。）を加え、「その他のもの」	（食用に適するものに限る。）」を加え、「その他のもの」	閉じかぎ括弧の落ち
12019910402024	の下「、第一種市街地再開発事業	の下に「、第一種市街地再開発事業	「に」の落ち
12019910502067	」を第五十条（遭難通信責任者の配置等）」に	」を「第五十条（遭難通信責任者の配置等）」に	開きかぎ括弧の落ち
12619930428027	（以下「研究振興業務」という。）に改める。	（以下「研究振興業務」という。）」に改める。	閉じかぎ括弧の落ち
13219950421075	「事業用電気工作物］に改め	「事業用電気工作物」に改め	かぎ括弧の字の誤り
13619960331017	（同条第二項の規定により読み替えて適用される場合を含む。）を削り	（同条第二項の規定により読み替えて適用される場合を含む。）」を削り	閉じかぎ括弧の落ち
15120010330007	事業年度」）を加え	事業年度）」を加え	かぎ括弧の位置
15120010608040	「同条第九項に改め	「同条第九項」に改め	閉じかぎ括弧の落ち
15320011128129	「第二百八十三条第三項を「	「第二百八十三条第三項」を「	閉じかぎ括弧の落ち
15420020330004	「三分の一の数」の下に（	「三分の一の数」の下に「（	開きかぎ括弧の落ち
15420020331015	同項第十三条中	同項第十三号中	号の誤り
15420020703079	の下に（連結事業年度	の下に「（連結事業年度	開きかぎ括弧の落ち
15620030606068	第二項」に定め、同号を	第二項」に改め、同号を	字の誤り
